Timestamp_ms,SP_Pitch,Pos_Pitch,Vel_Pitch,Vq_Pitch,Vd_Pitch,SP_Yaw,Pos_Yaw,Vel_Yaw,Vq_Yaw,Vd_Yaw,,,,,
956764,0,4222.01806640625,-206.71826171875,-8,0,-0.705590724945068,-0.684580802917481,-0.431498557329178,-0.35069265961647,0,,,,,
956769,0,4222.20947265625,-601.323852539063,8,0,-0.707592725753784,-0.686234951019287,-0.333474338054657,-0.0960391908884049,0,,,,,
956774,0,4222.33984375,1009.533203125,-3.27561330795288,0,-0.7095947265625,-0.687894344329834,-0.453764379024506,-0.129339873790741,0,,,,,
956779,0,4222.18408203125,960.692443847656,-8,0,-0.711596727371216,-0.6896653175354,-0.28360903263092,-0.188308864831924,0,,,,,
956784,0,4222.59716796875,1466.439453125,8,0,-0.713598728179932,-0.6913161277771,-0.295482695102692,-0.3487369120121,0,,,,,
956789,0,4222.4609375,1589.27673339844,-8,0,-0.715600490570068,-0.693056583404541,-0.352173835039139,-0.280191779136658,0,,,,,
956794,0,4222.69970703125,2292.38549804688,8,0,-0.717602491378784,-0.69480037689209,-0.51554149389267,-0.109870940446854,0,,,,,
956799,0,4222.2392578125,-96.5891342163086,-8,0,-0.7196044921875,-0.696628093719482,-0.403357326984406,-0.302389562129974,0,,,,,
956804,0,4221.9638671875,-1764.83349609375,-8,0,-0.721606492996216,-0.698359966278076,-0.303866803646088,-0.368324637413025,0,,,,,
956809,0,4222.22998046875,-499.451080322266,-0.152118682861328,0,-0.723608493804932,-0.70011568069458,-0.217312678694725,-0.476190894842148,0,,,,,
956814,0,4221.97509765625,-76.9146194458008,-8,0,-0.725610256195068,-0.702003002166748,-0.381781369447708,-0.345591127872467,0,,,,,
956819,0,4222.24072265625,-350.601959228516,8,0,-0.727587938308716,-0.703812599182129,-0.352173835039139,-0.301956593990326,0,,,,,
956824,0,4222.28271484375,122.395355224609,8,0,-0.729589939117432,-0.705625057220459,-0.356858760118485,-0.349611848592758,0,,,,,
956829,0,4221.37939453125,1559.32470703125,-8,0,-0.731591701507568,-0.707575798034668,-0.372431635856628,-0.26326784491539,0,,,,,
956834,0,4219.6416015625,-2511.7529296875,-8,0,-0.733593702316284,-0.709412097930908,-0.451822757720947,-0.451024740934372,0,,,,,
956839,0,4219.400390625,-3674.45092773438,-8,0,-0.735595703125,-0.711251735687256,-0.308180928230286,-0.427421659231186,0,,,,,
